symbol,window,family,rr,volume,trades,win_rate,profit_factor,net_r,consistency,max_drawdown_r,composite,min_trades_pass,no_future_leakage
RELIANCE,09:15-09:20,orb_breakout,2.000000,1,101,0.415842,0.640755,-16.811381,0.360000,17.088534,-31.459161,1,1
RELIANCE,09:15-09:30,orb_breakout,1.000000,1,172,0.459302,0.744724,-16.110954,0.346154,21.739933,-35.375394,1,1
RELIANCE,09:15-09:35,orb_breakout,1.000000,1,200,0.450000,0.692420,-22.523730,0.370370,23.026469,-43.005927,1,1
RELIANCE,09:15-09:40,orb_breakout,2.000000,1,208,0.408654,0.684206,-24.340561,0.333333,24.340561,-46.330249,1,1
SBIN,09:15-09:20,orb_breakout,1.000000,1,162,0.493827,0.989002,-0.663028,0.481481,9.661791,-6.928410,1,1
SBIN,09:15-09:30,orb_breakout,2.000000,1,254,0.401575,0.745314,-27.442034,0.370370,29.937007,-54.781875,1,1
SBIN,09:15-09:35,orb_breakout,2.000000,1,275,0.407273,0.682429,-36.286396,0.333333,37.849143,-71.786444,1,1
SBIN,09:15-09:40,orb_breakout,2.000000,1,273,0.435897,0.766685,-24.892818,0.407407,32.303612,-54.392708,1,1
